YEAR,SHOPPING LOCATION,COUNTRY OF NATIONALITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL
,,SINGAPORE,THAILAND ,INDONESIA,BRUNEI,PHILIPPINES,VIETNAM,CHINA,JAPAN,SOUTH KOREA,TAIWAN,INDIA,PAKISTAN,SAUDI ARABIA,UNITED ARAB EMIRATES,OMAN,KUWAIT,IRAN ,CANADA,USA,UNITED KINGDOM,IRELAND,SWEDEN,DENMARK,FINLAND,NORWAY,ITALY,SPAIN,FRANCE,BELGIUM,NETHERLANDS,GERMANY,SWITZERLAND,RUSSIA,AUSTRALIA,NEW ZEALAND,SOUTH AFRICA,CENTRAL ASIA,OTHER ASEAN,OTHER EAST ASIA,OTHERS SOUTH ASIA,OTHERS WEST ASIA,OTHERS AMERICAS,OTHERS EUROPE,OTHERS,
2019,Bukit Bintang KLCC,19.5,85.8,60.1,32.3,73.3,95.5,69.4,94.9,65.2,8.6,95.8,82.7,98.7,85.6,98.1,89.5,96.4,82.6,65.6,83.4,96,80.6,70.8,80,42.9,90.2,89.5,87.7,91.2,89.5,88.6,94.4,94.5,73.6,45.5,94.2,96,98.1,27.3,85.7,94.3,82.1,93.8,96.7,56
2019,Mid Valley,6.3,18.1,12.1,11.4,17.4,19.6,12.3,20.3,7.1,4,21.7,12.4,37.7,20.2,28.2,25,15.2,19.1,16.4,22.1,10,17.3,10.4,28.6,11.4,14.5,23.2,16.5,7,22.9,27.3,15.7,13,15.7,2.6,14.3,13.9,12.5,0,11.7,23.4,10.4,11.5,25.3,17.2
2019,Jalan TAR,6.7,23,32.1,19.5,21.6,46.1,26.7,25.2,21.9,5.3,41.1,35.1,40.5,36.5,39.9,25,75,33,26.2,25,34,25.5,35.4,27.1,11.4,25.3,30.1,29.9,11.4,33.4,34,15.7,18.9,22.7,10.4,27.9,30.6,33.9,0,22.1,30.2,22.4,19.3,33.4,28.3
2019,Sunway Subang,4.7,14.2,10,4.7,10.8,14.8,11.3,16.6,8.4,1.3,23.4,27.6,53.2,35.6,49.8,43.4,20.5,6.1,22.3,24.3,8,24.5,22.9,28.6,17.1,15.2,26.9,24.3,14.9,25.4,28.1,12,13,15.7,9.1,36.4,9.2,15.7,0,9.1,42.6,9,17,34.8,18.9
2019,Damansara,3,2.5,5.2,3.1,7.5,12.6,9.3,9.9,7.1,1.3,10.9,7.6,29.1,13.5,25.4,21.1,4.5,3.5,14.8,18.5,8,19.4,10.4,24.3,0,12.1,19.6,13.7,8.8,19.5,21.9,3.7,10.1,12.2,2.6,14.3,4,9.3,0,7.8,22,8.2,9.3,20.2,11.6
2019,Petaling Street,7.5,23,20.2,7,31.6,39.6,29.7,26.3,31,6,38.8,35.1,38.3,36.5,40.8,46.1,72.3,29.6,36.7,40.1,40,52,45.8,62.9,22.9,39.4,54.8,42.8,24.6,53.7,49.3,51.9,43.6,37,33.8,29.2,35.3,43.7,0,17.5,33.5,40.3,41.5,40.4,32.3
2019,Freeport A Famosa Outlet Village,3,1,2.7,0.6,2,19.3,11,3.2,3.9,0,4.7,0,2.7,1.9,0,0,7.1,1.7,0.7,1.6,0,2,0,0,0,0,1.7,1.7,0,1.7,1,5.6,0,1.5,0,5.2,0,8.3,0,2.6,2.4,6,3.7,1.7,3.6
2019,Johor Bharu,52,10.8,23.4,0.6,6.4,16.5,6.1,1.6,6.5,0,3.9,0,2.1,0,0,3.9,6.3,2.6,0.7,1.2,0,2,0,0,0,2.4,0.6,0.3,0,2.4,3.8,1.9,0,2,5.2,0,1.2,26.4,0,0,0.9,3,1.1,1.3,11.3
2019,Kuching,2.6,0,3.5,0,0.9,0,0,0.5,0,0,0.1,0,0.6,0,0,0,0,0,0.7,1.3,0,2,0,5.7,0,1,6.6,3,0,3.4,2.2,11.1,0,0.2,5.2,0,0,0,72.7,0,0.7,0,0.2,0.4,1.4
2019,Johor Premium Outlet,9.3,1.5,7.1,0.6,2.2,7.4,2.5,0.7,4.5,1.3,4.4,0,0.4,0,0.9,3.9,1.8,0,2,0.5,0,1,2.1,0,0,0.7,0.9,0,0,1,0.2,0,0,1.5,0,0,0,19.5,0,0,1.7,0,0,0.9,3.5
2019,Melaka Town,9,15.2,13,1.6,12.6,49.2,27.5,11.3,9.7,4,13.7,4.9,7.3,7.7,8.9,7.9,10.7,8.7,8.9,5.6,0,7.1,8.3,12.9,2.9,4.7,12.6,15.6,11.4,11.2,10.5,28.7,1,4.7,7.8,13,9.8,33.6,0,10.4,11.5,9,9.8,6.4,12.6
2019,Mitsui Outlet Park KLIA,1.7,5.4,3,2.1,8.6,6,6.1,5.5,7.1,0,6.2,0,11.9,7.7,9.9,10.5,6.3,0,4.6,6,8,6.1,8.3,4.3,0,4,4.1,4.8,0,4.9,8.2,3.7,1.3,5.3,0,0,3.5,4.3,0,1.9,6,2.2,2.3,5.9,4.8
2019,Georgetown,2.8,5.9,13.8,0.2,4.4,3.3,6.2,2.8,0.6,17.2,3.2,8.6,33.5,30.8,24.4,6.6,16.1,13.9,23.9,22,4,23.5,10.4,4.3,22.9,13.8,23.2,21.6,22.8,21.5,24.1,31.5,6.5,15.9,23.4,4.5,6.4,0,0,0,18.6,0,10.8,9.9,11.7
2019,Kota Kinabalu,11.1,0,0,19.7,18.3,0,22.3,1.8,26.5,73.5,0.2,3.2,0,2.9,0,0,0,4.3,7.2,4.5,0,0,14.6,8.6,0,0,2.1,3.9,2.6,4.1,3.3,8.3,3.3,6.6,3.9,1.9,0,0,0,0,0,3,2.9,1.5,6.1
2019,Miri,0,0,0.1,34.5,1.5,0.3,0,0,0.6,0,0.2,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.5,0.2,0,1.3,0,0,0,0,0,0,0,0,0,0.5,0.4,2.4
2019,Labuan,0,0,0,14.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
2019,Langkawi,1.2,2,0.2,0.1,2,0.3,1.5,2.1,3.9,1.3,2.6,19.5,49.7,21.2,49.3,15.8,17.9,10.4,16.4,13.1,0,13.3,10.4,22.9,11.4,11.1,11.7,18.2,21.1,22.4,16.3,13,13.7,5.9,3.9,3.2,21.4,0,0,5.2,33.2,0.7,10.2,19.1,9.3
2019,Bukit Kayu Hitam,0,0,0,0,0.9,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,3.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1
2019,Kota Bharu,0,0,0.1,0,0.9,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.7,0.6,0,0,0,0,0,3,0.6,1.1,0,2,1.5,7.4,0,0,0,5.2,0,0.8,0,0,0.2,0,1.3,0.4,0.4
2019,KLIA / KLIA2,5.1,44.1,26.7,12.6,27.4,38.7,33.9,32.3,47.1,5.3,41.1,42.7,27.9,29.8,30.5,14.5,38.4,30.4,18.4,19.9,50,20.4,33.3,38.6,57.1,34.3,21.8,20.8,28.9,23.4,19.2,25,35.5,32.4,53.2,13.6,49.7,41.9,72.7,46.1,30.2,37.3,32.5,32.8,27.5
2019,Design_Village,0.1,0,0.1,0.1,0.9,0,0.1,0.9,0,0,0.1,1.1,0.3,0,1.4,0,6.3,1.7,0,0.7,0,2,0,0,11.4,0.7,1.1,0.6,0,1,0.7,0,0,0.7,2.6,0,1.2,0,0,0,0.2,0,0.2,0.2,0.4
2019,Genting Highland Premium Outlet,3.8,14.7,11.9,1.7,13.2,18,25.8,8.3,6.5,4,33,20.5,13.8,18.3,16.9,10.5,39.3,3.5,0.3,3.1,4,16.3,0,4.3,0,0,0.9,3.9,0,0.7,2.7,9.3,4.2,2.3,0,7.1,15,28.3,0,15.6,13.9,6.7,4.4,13.6,11.1
2019,KL Int Outlet,0,0,0,0.3,0.9,0.5,0.1,0.5,0,0,0.7,0,2.7,0,0,2.6,0,1.7,1,0.6,0,0,0,0,0,0,0,0.6,0,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0.4
2019,Others,3,11.3,3.5,0.8,7.7,4.2,3.9,5.8,2.6,0,4.2,10.8,4,3.8,0,0,21.4,7,0.7,3.7,0,4.1,0,0,0,6.4,2.6,9.3,3.5,5.6,1.8,3.7,3.9,3.5,2.6,5.2,6.9,2.7,0,9.1,4.1,1.5,2.9,3.4,3.9
